Title																				,Podficcer,Author,Ship,Link
A Dramione Halloween,EllaMcSmellBella,Mermaid886,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/50142277
A Drarry Halloween,EllaMcSmellBella,Mermaid886,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385607
A Dress With Pockets,ETL_Echo_Audiobooks,PacificRimbaud,Neville Longbottom/Pansy Parkinson,https://open.spotify.com/episode/6QUELuCKHjWIPBX9hwlCWT?si=0f368804785d4c0d
A Drunken Confession,Dramione Oneshots,,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0IhdVB9ULoBa7wwiRyxGyD?si=f05f51a4bd9144a2
A Game of High Stakes,Lis Podfics,In_Dreams,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7GbxlXw6v5kz8rUDnEjFHz?si=057b05ea319d4693
A Gentlemans Agreement,Static_Whisper,Elucreh,"Cedric Diggory/Oliver Wood, Percy Weasley/Oliver Wood",https://archiveofourown.org/works/31323605
A Ghost Among Ghosts,picascribit,picascribit,Delphi & Voldemort,https://archiveofourown.org/works/7621780/chapters/17350699
A Gift of True Esteem,ETL_Echo_Audiobooks,apliddell,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51850045
A Gothic Christmas Patented Daydream Charm,smirkingcat,Vaysh11,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52672726
a haunted house with a metal fence,EllaMcSmellBella,plutomoony,Sirius Black/Remus Lupin,https://archiveofourown.org/works/50142241
A Husband for Christmas,EllaMcSmellBella,jolly_love,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/1OWoFmC8nH9Cdzy4eYbtPJ?si=a3293f9e721f408e
A Jersey,The Dramione Archives,tealitful,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0nocApQHoLWuUQc3OKrsFW?si=a1c27300fc884dc8
A Lesson in Fidelity - TTS,BurningAurora,Quietlemonhush,Sirius Black/Remus Lupin,https://archiveofourown.org/works/51319543
A Magical Morning,EllaMcSmellBella,Musyc,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43630386
A Magical New Year's Eve Masquerade,ETL_Echo_Audiobooks,PTwritesmore,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/52417021
A most plausible Explanation,Podfics by Juuls,noxsoulmate,Hermione Granger/Remus Lupin,https://archiveofourown.org/works/47206477
A Muggleborns Guide to Bagging a Pureblood,The Dramione Archives,ravengoldy,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/01E42Esuk1rEaT06EGxGjQ?si=ab8ccd97442347aa
A Night Off From the War ,picascribit,picascribit,James Potter/Lily Evans Potter,https://archiveofourown.org/works/1715756
A Non-Christmas Non-Romance,ETL_Echo_Audiobooks,kelly_chambliss,Minerva McGonagall/Severus Snape,https://archiveofourown.org/works/52382296
A Peace Offering,micha_making_podfics,Lalalaartje,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47034886
A Potter's Field,"BurningAurora, MsAlexWP, R33sesPieces, read by (ashata)",MsAlexWP,Sirius Black/Remus Lupin,https://archiveofourown.org/works/50071558
A Potters Field,Wolfstar Tales,MsAlexWP,Sirius Black/Remus Lupin,https://open.spotify.com/episode/1SHWFalzXsGBQDjYhSJZGV?si=b5216827afec441e
A Prince's Promise - TTS,BurningAurora,Engie_Ivy,Sirius Black/Remus Lupin,https://archiveofourown.org/works/47524123
A Purrfect Proxy,ETL_Echo_Audiobooks,mightbewriting,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43758636
A Quiet Beginning,"fire_juggler, starduchess",,Harry Potter/Severus Snape,https://archiveofourown.org/works/224761
"A Safe, Devoted Darkness",EllaMcSmellBella,Heyjude19,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0jCdWf0SLLxE4Hj1Quklcd?si=5d96d06037fc4bb9
"A Safe, Devoted Darkness",EllaMcSmellBella,HeyJude19,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42352986/chapters/106354143
A Season for Setting Fires,ETL_Echo_Audiobooks,mightbewriting,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/44790424
A Second Look,The Dramione Archives,RiverWriter,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3Xlk7ZiXpLcmWVZ6j6a57G?si=a33af29e8aa54182
A Short Summary of Things That Are James Potter's Fault,EllaMcSmellBella,xylodemon,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44291228
A Slow Cruel Descent,EllaMcSmellBella,SenLinYu,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2cDUQNa1hYjxiPHCRtZaPu?si=c222cc153fb34d9a
A Small Present,EllaMcSmellBella,Musyc,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43341282
A Stake of Holly Through His Heart,ETL_Echo_Audiobooks,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41137725
A Stranger Walk Into A Bar - TTS,BurningAurora,weightyghosts,Sirius Black/Remus Lupin,https://open.spotify.com/episode/5Za1kJmYHVQdglfBXHSsmY?si=349a2a864296496f
A Study of Resonance,Billyballz,mymovingfingerwrites,Percy Weasley,https://archiveofourown.org/works/53841925/chapters/136277326
"a symphony, undone",EliseDonut,volunteer_of_hufflepuff,Percy Weasley,https://archiveofourown.org/works/49725538
A Tale of Two Tents,ETL_Echo_Audiobooks,who_la_hoop,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/44268982
a taste so good (i'd die for it),lumosauxnight,RenderedReversed,Harry Potter/Tom Riddle,https://archiveofourown.org/works/42441999
A Thing Without Feathers,The Dramione Archives,SenLinYu,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2yQqVgwV5oEHkwOkau8C9Z?si=e354a0ebdd2d46d6
A Thousand Words,SEP FanFic Readings,olivejuice28,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/54089311
A Toast to Lord Voldemort,codeswitch,magnetic_pole,Augusta Longbottom/Minerva McGonagall,https://archiveofourown.org/works/2596805
A Trunk Full of Chaos,RoastedOats,anonymousmagpie,Harry Potter,https://archiveofourown.org/works/41989503/chapters/105415401
A Very Weasley Christmas,EllaMcSmellBella,flyingisabetterwordforfalling,Harry Potter & The Weasleys,https://archiveofourown.org/works/43407564
A Volatile Mix ,fire_juggler,Leela,Harry Potter/Severus Snape,https://archiveofourown.org/works/309656
A Wish Come True,inmyownlittle_podfic_corner,KasmiAnn,Draco Malfoy/Fred Weasley,https://archiveofourown.org/works/44792023
A Witch’s Wedding,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138394/chapters/103120368
A Woman of Independent Means,meems_toanend,PacificRimbaud,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/51474349
A Year Like None Other,Tenacious_Minds,Aspeninthesunlight,Harry Potter,https://archiveofourown.org/works/48402844/chapters/122084182
Absinthe,Snamione Reads,Aurette,Hermione Granger/Severus Snape,https://open.spotify.com/episode/0YjR5kha1nmd63ROXqizYG?si=c95c75aafe314c0b
Abydos,fire_juggler,Leela,Madam Hooch/Narcissa Black Malfoy,https://archiveofourown.org/works/2322095
Accept the Extraordinary,fire_juggler,RoozetteR ,Luna Lovegood/Nymphadora Tonks,https://archiveofourown.org/works/372319
Accidental Proposal,SEP FanFic Readings,CJRed,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/53851420/chapters/136303189
Accidentally on Purpose,peaceinpanem,aibidil,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/49260658
Adeste Fideles,ETL_Echo_Audiobooks,Mad_Maudlin,Draco Malfoy/Ron Weasley,https://archiveofourown.org/works/52416835
Adrift,seeking_semperfiona,dysonrules ,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/14030274
Advice for Leos,RattleandHum,magpie_fngrl,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/33416410
After,DontStopHerPodfics,DontStopHerNow,Sirius Black/Remus Lupin/Lily Evans Potter,https://archiveofourown.org/works/48820309
Aftermath,JocundaSykes,Avioleta,Harry Potter/Severus Snape,https://archiveofourown.org/works/31350713
against a sure winter,ETL_Echo_Audiobooks,skitter,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43757223
Ages of Ink,reena_jenkins,copperbadge,Sirius Black/Remus Lupin,https://archiveofourown.org/works/23282797
Alexandra Quick series,Sam Gabriel,Inverarity,Original Characters,https://open.spotify.com/episode/7FA5Qfa4IA4nLGk0WjXjIh?si=ae9b40df982a4ad3
All I Want For Christmas (Is For You To Stop Talking),"acari, almost_april, Ang3_N, CelilasPodfics (LLAP115), dagnydecided, EvAEleanor, Flamelikefire, jc647, lastontheboat, LauDH8, MaesterChill, Melcarrianna, millennialgrandma, PhenomenalAsterisk, Podfic by (Thunder_of_Dragons), read by (bluedreaming), Rhyebony, roseszain multivoices (roseszain), SassySaori, somberraven, sweaters_in_the_summer, TheseLittleWonders, wianwriting","Femme (femmequixotic), noeon (noe)",Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43299069/chapters/108837327
All I want for Christmas is You ( Literally),ETL_Echo_Audiobooks,forgotten_traveler,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43758484
All Life is Yours to Miss,Originally,Sarahs_Girl,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/4419794
All The Best Ideas,fire_juggler,writcraft,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/9659597
All the Soul-and-Body Scars ,BurningAurora,1point21,Sirius Black/Remus Lupin,https://open.spotify.com/episode/29Khi53wtOo9NuuSHcIgUY?si=ac49eb7170654a86
All the Soul-and-Body Scars - TTS,BurningAurora,1point21,Sirius Black/Remus Lupin,https://archiveofourown.org/works/46728979
All the Young Dudes,Aitana,MsKingBean89,Sirius Black/Remus Lupin,https://open.spotify.com/show/7HkXo8ylxrAFp1NvrtX0nO?si=daafbb8cbab64e2d
All the Young Dudes,fanficreads,MsKingBean89,Sirius Black/Remus Lupin,https://open.spotify.com/episode/7CXAt81NK8zvbRl0CmEghS?si=d76c4203bfaf472d
All the Young Dudes,James,MsKingBean89,Sirius Black/Remus Lupin,https://open.spotify.com/episode/12T1TwWuh4ntNcBRgOU4oQ?si=f92ad6cbaac540a8
All the Young Dudes,Jared.Shaughnessy,MsKingBean89,Sirius Black/Remus Lupin,https://open.spotify.com/episode/5WBzJ5wZcNI5gZPzlVXsaR?si=365041688b9c4e45
All the Young Dudes,lucymacleann,MsKingBean89,Sirius Black/Remus Lupin,https://open.spotify.com/episode/1TI6eocaklpbukd6DgqdcY?si=375b480f77474f46
All the Young Dudes,Azalea,MsKingBean90,Sirius Black/Remus Lupin,https://open.spotify.com/episode/1jrVNEaHbhOVlPovBwo712?si=ebd6aa2b7a314d69
All the Young Dudes,Fleur's Upload,MsKingBean91,Sirius Black/Remus Lupin,https://www.youtube.com/watch?v=y27XEwCYK4U&list=PL4w1LsbvNqRRX0qmujbYEdcvSQyw471JC&ab_channel=Fleur%27suploads
All the Young Dudes,Connor!!,MsKingBean92,Sirius Black/Remus Lupin,https://open.spotify.com/episode/5FjNd8IIFTZXeOAIv80CKk?si=2eb59be36ebf479e
All The Young Dudes - Sirius' Perspective,atyd.sirius,Rollercoasterwords,Sirius Black/Remus Lupin,https://open.spotify.com/episode/4jCZ0yZUGcqyeXmJyahJ4j?si=54e0d4c3199742a8
All The Young Dudes - Sirius' Perspective,Emily,Rollercoasterwords,Sirius Black/Remus Lupin,https://open.spotify.com/episode/6gVlslh8wOFWNLUy1vwtcM?si=c9e80618dd1f4a35
All The Young Dudes - Sirius' Perspective,Kayla,Rollercoasterwords,Sirius Black/Remus Lupin,https://open.spotify.com/show/4B7hec8FDjOVymn3GhcNjf?si=69eedd2c14b64d3a
All The Young Dudes - Sirius' Perspective,Sylvester,Rollercoasterwords,Sirius Black/Remus Lupin,https://open.spotify.com/show/5qB5NX9iz1OAAFZmtUhSRv?si=9ee7c472b65f4aad
All The Young Dudes & ATYD Sirius Perspective,Indigenous Baddies,"MsKingBean89, Rollercoasterworlds",Sirius Black/Remus Lupin,https://open.spotify.com/episode/29gupdbvPF6XH8Gc4mLo9Q?si=59e46dc9cc984726
"All The Young Dudes: prologue, extra chapters, Sirius Perspective",Gili Avitan,"MsKingBean89, Rollercoasterwords",Sirius Black/Remus Lupin,https://open.spotify.com/episode/1S6DDjVJjomLGfYtYQSkvI?si=22059513c9ad4030
All Tied Up,seeking_semperfiona,writcraft,Pansy Parkinson/Ginny Weasley,https://archiveofourown.org/works/16029680
All You Want,Dramione Audio Fics,SenLinYu,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/6qACrajNedXtKTsrCxFcWs?si=c3ee5f51c830498d
All Yours,The Dramione Archives,sweetestsorrows,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0cee7FAXSc5OhJDgz5dWpr?si=7678b29bcb234de0
Allergies,picascribit,picascribit,Minerva McGonagall,https://archiveofourown.org/works/939806
Aloe You Vera Much,inmyownlittle_podfic_corner,pandora_rose_xo,Neville Longbottom/Ron Weasley,https://archiveofourown.org/works/45174871
Along Came Potter,smirkingcat,huldrejenta,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/27918550
Alpha and Omega,fire_juggler,the_gubette,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/398019
Altered State,Dark Desires Fanfiction Readings,Ginnyruin,Hermione Granger/Tom Riddle,https://open.spotify.com/episode/6Sj6KU1TsjxCwZG5rd7KyK?si=291677a6b76843ae
Alway Mine,EllaMcSmellBella,SamadiW,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/57eiKWeOtsTPlYT58FaNbG?si=6bab123b6eb54066
Always Already,aibidil,aibidil,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/44153668
Amor Vincit Omnia,Paper Crane Audiobooks,Twin_Flame_Blues,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0R3Gp7FzbStrpfCSIOFBvr?si=53edbcafa7854971
Amortentia,JocundaSykes,Avioleta,Harry Potter/Severus Snape,https://archiveofourown.org/works/36101479
Amortentia,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0qDWQgMfAmWRd6uTSGQ06O?si=7tg0vnZPQR2GicWpyXds7A
An Alluring Ascent Into Ardor: one shots compilation,ETL_Echo_Audiobooks,"HeyJude19, mightbewriting, niffizzle",Everyone,https://archiveofourown.org/works/45867784
An Angel Snogging A Devil,EllaMcSmellBella,starrnobella,Hermione Granger/Theodore Nott,https://archiveofourown.org/works/50385415
An Apple A Day,ViolaMoon,ViolaMoon,Hermione Granger/Draco Malfoy,https://soundcloud.com/user-754693218/an-apple-a-day
An Explicit Truth,xinasvoice,xinasvoice,Sirius Black/Remus Lupin,https://archiveofourown.org/works/27462079
An Inconvenient Flutter,EllaMcSmellBella,niffizzle,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43785124
An Inexplicable Promise,SilverMiss Fanfiction,,Hermione Granger/Remus Lupin,https://open.spotify.com/episode/5SrZN1pJzsOqmsvysymUpL?si=d083d1dc4dd640bf
an infusion of bitterness,kitartpods,Tavina,Petunia Evans Dursley & Lily Evans Potter,https://archiveofourown.org/works/46974283
An Occasional Fallacy,EllaMcSmellBella,In_Dreams,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41703897
An Unexpected Guest,"eafay70, Jellyfishgalaxies, JocundaSykes, peasina, Ravin, Rindle, sisi_rambles, sunlightsymphony, with (bluedreaming)",Nabielka,Edmund Pevensie/Tom Riddle,https://archiveofourown.org/works/36231178
An Unexpected Reunion - TTS,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,https://open.spotify.com/episode/1FRpczYEhozzONjQzWIla7?si=371931d0c9f64ab3
An Unlikely Series,The Dramione Archives,happy_valley,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/53jF2crf1hBbT9PtrpQ0rJ?si=501b68a5abba458f
And An Owl Named Romeo,fire_juggler,Rickey,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/309295
And Draco Makes Four,EllaMcSmellBella,drarryruinedme7,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51169363
And We Are But Actors,seeking_semperfiona,alafaye,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/16527170
And when I come home,"Owl_Postmaster, smirkingcat",deliciousblizzardshark,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43896405
"Andrew, 38",JocundaSykes,hippocrates460,Harry Potter/Severus Snape,https://archiveofourown.org/works/22802872
Anything But Ordinary,bonibaru,bonibaru,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52409281
Apple Pies and Other Amends,EllaMcSmellBella,ToEatAPeach,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/40842849
Apple Pies and Other Amends,ETL_Echo_Audiobooks,ToEatAPeach,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/44802251?view_adult=true
Après Ski,EllaMcSmellBella,scullymurphy,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43425012
Arcadian Sunset,luckytiger96,BlackStarGazer,Regulus Black/James Potter,https://archiveofourown.org/works/51339139/chapters/129724627
Arctic Wolf ,ETL_Echo_Audiobooks,sodamnrad ,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43756981
Ardent Bonds,ETL_Echo_Audiobooks,Musyc,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/38195155
Are You Gonna Go My Way? ,EllaMcSmellBella,tygermine,Hermione Granger/Blaise Zabini,https://archiveofourown.org/works/43341309
"Art Heist, Baby",YourMomsLibrary,otrtbs,Regulus Black/James Potter,https://open.spotify.com/show/5FrNCSWE0k8osTVOgvFd7G?si=dade3586270a4849
"Art Heist, Baby",zebrastripes365,otrtbs,Regulus Black/James Potter,https://open.spotify.com/episode/4UoE26pwlvsAhyt2f26UcW?si=03ed9a8dac0d4b71
"Art Heist, Baby!",peaceinpanem,otrtbs,Regulus Black/James Potter,https://archiveofourown.org/works/48641419/chapters/122698387
"Arthur and the Lust Leaks: Part 1, Kiss on cheek: one galleon",sweaters_in_the_summer,magpie_fngrl,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/48134230
"Arthur and the Lust Leaks: Part 2, The Full Monty",sweaters_in_the_summer,magpie_fngrl,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47444920
As Etiquette Demands,sweaters_in_the_summer,ICMezzo,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/46906414
Astraphobia,fire_juggler,ChokolatteJedi,Lavender Brown/Parvati Patil,https://archiveofourown.org/works/6301591
Aurelian,Adrija Choudhury,BittyBlueEyes,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2Z8CAP0J3t4YKiPT4rB3Ct?si=e2dfb292a1324ade
Aurelian,SEP FanFic Readings,BittyBlueEyes,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/54021109
Away Childish Things ,RattleandHum,Lettered,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/33589591/chapters/83466508
Azoth,EllaMcSmellBella,zeitgeistic,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/44388211/chapters/111638578
Baby On Board - TTS,BurningAurora,aqua_myosotis,Sirius Black/Remus Lupin,https://open.spotify.com/episode/4WdeDoCqSQq2Ixiomcl48k?si=07ffac25a4b54ef6
Backstage,picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/978819/chapters/1926496
Backstage,picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/978819/chapters/1926496
"Bad Girls, Bad Girls, Whatcha Gonna Do?",wilfriede0815,kelly_chambliss,Rolanda Hooch/Minerva McGonagall,https://archiveofourown.org/works/50272618
Bad Moon Rising,EllaMcSmellBella,tygermine,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41703936
"Bah, Humbug!",EllaMcSmellBella,Art3misiA,Fred Weasley & George Weasley,https://archiveofourown.org/works/43425046
Basilisk Eyes,Hegemone,Hegemone,Harry Potter,https://open.spotify.com/episode/0F1WFCHXmZs68LObsQORbh?si=b6f6b5637c8144e9
"Basilisks, Boggarts and Boyfriends (oh my) - TTS",BurningAurora,OptimisticDinosaur,Sirius Black/Remus Lupin,https://archiveofourown.org/works/43274602/chapters/108772531
Bathed in the Moonlight - TTS,BurningAurora,TherestheSnitch,Sirius Black/Remus Lupin,https://open.spotify.com/episode/02jLepGFYqQF0FGOhVXQyT?si=cca19c0cb9594392
"Beards, Booty Shorts, and Binaries",RattleandHum,Aibidil,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/33310747
Beautiful Surprise (part 3 of Running From Lions),seeking_semperfiona,tryslora,Harry Potter/Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/22483696
Beautiful the rose that in your garden is,Cailynwrites,porcelainsalt,Astoria Greengrass/Luna Lovegood,https://archiveofourown.org/works/52139617
"Beautiful, beloved - TTS",BurningAurora,imagineacoolusername,Sirius Black/Remus Lupin,https://archiveofourown.org/works/53804278
Because Cats,Cailynwrites,ICMezzo,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50126848
"Because You Called the Wrong Person, But He Was Into It Anyway",ETL_Echo_Audiobooks,gracerene,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/48825847
Beekeeping,seeking_semperfiona,khalulu ,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/4488288
Beekeeping in the Daylight ,Ashata,halictus,Sirius Black/Remus Lupin,https://open.spotify.com/episode/5QbN0G0eCbzNgiJh6may5v?si=0f5ab1092dc1490a
been on this path of life for so long,BurningAurora,NeonDomino,Sirius Black/Remus Lupin,https://archiveofourown.org/works/47745307
"Beer, Potions and Unwise Notions",ETL_Echo_Audiobooks,Heyjude19,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/46025662
Beginning and End,ETL_Echo_Audiobooks,mightbewriting,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/44807503
Behind the Web,peasina,JocundaSykes,Harry Potter/Severus Snape,https://archiveofourown.org/works/36208330
Behind Theo's Curtains,The Dramione Archives,dittanyanddreams,Hermione Granger/Theodore Nott,https://open.spotify.com/episode/5oopxs0myY0D2YGOGDx7SG?si=25f105d106724c70
Believe Me!,inmyownlittle_podfic_corner,WritingFicariously,Arthur Weasley/Molly Weasley,https://archiveofourown.org/works/44468071
Beloved Andy,JocundaSykes,FairyQueen,Daphne Greengrass/Andromeda Black Tonks,https://archiveofourown.org/works/30243123
Beltane,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138175
Besotted,smirkingcat,DrWhoIsGinnyHolmes,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52643485
Bespoke,fire_juggler,kelly_chambliss,"Wilhelmina Grubbly-Plank/Minerva McGonagall, Millicent Bulstrode/Ginny Weasley ",https://archiveofourown.org/works/6301696
"Best Regards, R.A.B",Ezekeil,fallenezekiel,Regulus Black,https://open.spotify.com/show/7lnWFxhTjfB1EVIy8swcSm?si=8098e3f4dfc3453c
Better Late Than Never,lumosauxnight,tasteofshapes,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51756082
Beyond the Veil - TTS,BurningAurora,Atalan,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44119515
Biscuits and Icing,EllaMcSmellBella,emeraldlove,Luna Lovegood/Ginny Weasley,https://archiveofourown.org/works/50142070
black smoke up around the bend (going home),kitartpods,Tavina,Petunia Evans Dursley & Harry Potter,https://archiveofourown.org/works/47230039
Blood and Gold,Seollem,ObsidianPen,Hermione Granger/Tom Riddle,https://open.spotify.com/show/2PjMYX0TZdsZ1BzRxkH4S3?si=c2666418e1d04ecf
"Bloodlust, Bureaucracy, and Something in Between",LadyVoldy,LadyVoldy,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42455070?view_full_work=true
Blooming,Flowerparrish Pods,LiraelClayr007,Luna Lovegood/Viktor Krum,https://archiveofourown.org/works/31274297
Blue Roses and Other Impossible Things,Sandstripe,Cassiara,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/27754621
Blue Sheets,ETL_Echo_Audiobooks,firethesound,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41660157
Blue Sheets,RattleandHum,firethesound,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/35451352
Boiling Point,Aibidil,Aibidil,Draco Malfoy/Harry Potter,https://archive.org/details/boiling-point_202302
"brandy, apricot, and spice",EllaMcSmellBella,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43407432
"brandy, apricot, and spice",ETL_Echo_Audiobooks,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41137764
